DATE,OPEN,HIGH,LOW,CLOSE
08-05-1981,0.125,0.125558,0.125,0.125
11-05-1981,0.122768,0.122768,0.12221,0.12221
12-05-1981,0.12221,0.123884,0.12221,0.12221
13-05-1981,0.12221,0.123326,0.121652,0.121652
14-05-1981,0.121094,0.121094,0.119978,0.119978
15-05-1981,0.122768,0.124442,0.122768,0.122768
18-05-1981,0.125,0.126116,0.125,0.125
19-05-1981,0.123326,0.123326,0.122768,0.122768
20-05-1981,0.126674,0.12779,0.126674,0.126674
21-05-1981,0.133929,0.134487,0.133929,0.133929
22-05-1981,0.140067,0.141183,0.140067,0.140067
26-05-1981,0.140067,0.140067,0.139509,0.139509
27-05-1981,0.147321,0.147879,0.147321,0.147321
28-05-1981,0.147321,0.147879,0.147321,0.147321
29-05-1981,0.147879,0.148438,0.147879,0.147879
01-06-1981,0.147879,0.148438,0.147879,0.147879
02-06-1981,0.141183,0.141183,0.140625,0.140625
03-06-1981,0.140625,0.141741,0.140625,0.140625
04-06-1981,0.143415,0.143973,0.143415,0.143415
05-06-1981,0.141741,0.141741,0.141183,0.141183
08-06-1981,0.136719,0.136719,0.136161,0.136161
09-06-1981,0.138951,0.139509,0.138951,0.138951
10-06-1981,0.140625,0.142299,0.140625,0.140625
11-06-1981,0.146763,0.147321,0.146763,0.146763
12-06-1981,0.145647,0.145647,0.145089,0.145089
15-06-1981,0.145089,0.145089,0.144531,0.144531
16-06-1981,0.142299,0.142299,0.141741,0.141741
17-06-1981,0.140067,0.140067,0.139509,0.139509
18-06-1981,0.139509,0.140067,0.138951,0.138951
19-06-1981,0.135603,0.135603,0.135045,0.135045
22-06-1981,0.13058,0.13058,0.130022,0.130022
23-06-1981,0.132254,0.133371,0.132254,0.132254
24-06-1981,0.130022,0.130022,0.128906,0.128906
25-06-1981,0.131696,0.132254,0.131696,0.131696
26-06-1981,0.131138,0.131138,0.130022,0.130022
29-06-1981,0.126674,0.126674,0.125558,0.125558
30-06-1981,0.116629,0.116629,0.116071,0.116071
01-07-1981,0.115513,0.115513,0.114955,0.114955
02-07-1981,0.114955,0.115513,0.114955,0.114955
06-07-1981,0.112165,0.112165,0.111049,0.111049
07-07-1981,0.112165,0.113281,0.112165,0.112165
08-07-1981,0.116629,0.117188,0.116629,0.116629
09-07-1981,0.108259,0.108259,0.107701,0.107701
10-07-1981,0.099888,0.099888,0.09933,0.09933
13-07-1981,0.101563,0.102121,0.101563,0.101563
14-07-1981,0.106027,0.107143,0.106027,0.106027
15-07-1981,0.108817,0.109375,0.108817,0.108817
16-07-1981,0.111607,0.112723,0.111607,0.111607
17-07-1981,0.115513,0.116071,0.115513,0.115513
20-07-1981,0.108259,0.108259,0.107701,0.107701
21-07-1981,0.107701,0.107701,0.107143,0.107143
22-07-1981,0.102121,0.102121,0.101004,0.101004
23-07-1981,0.103795,0.104353,0.103795,0.103795
24-07-1981,0.107143,0.107701,0.107143,0.107143
27-07-1981,0.111607,0.112165,0.111607,0.111607
28-07-1981,0.108259,0.108259,0.107701,0.107701
29-07-1981,0.106585,0.106585,0.106027,0.106027
30-07-1981,0.109933,0.111049,0.109933,0.109933
31-07-1981,0.111607,0.112165,0.111607,0.111607
03-08-1981,0.111607,0.111607,0.110491,0.110491
04-08-1981,0.112165,0.112723,0.112165,0.112165
05-08-1981,0.115513,0.116071,0.115513,0.115513
06-08-1981,0.113281,0.113281,0.112723,0.112723
07-08-1981,0.112723,0.113281,0.112723,0.112723
10-08-1981,0.112723,0.112723,0.112723,0.112723
11-08-1981,0.110491,0.110491,0.109375,0.109375
12-08-1981,0.107701,0.107701,0.107143,0.107143
13-08-1981,0.104353,0.104353,0.103795,0.103795
14-08-1981,0.103237,0.103237,0.102121,0.102121
17-08-1981,0.099888,0.099888,0.098772,0.098772
18-08-1981,0.097656,0.097656,0.09654,0.09654
19-08-1981,0.09654,0.09654,0.095424,0.095424
20-08-1981,0.09654,0.097098,0.09654,0.09654
21-08-1981,0.09096,0.09096,0.089844,0.089844
24-08-1981,0.084821,0.084821,0.084263,0.084263
25-08-1981,0.086496,0.087054,0.086496,0.086496
26-08-1981,0.085379,0.085379,0.084821,0.084821
27-08-1981,0.085379,0.085938,0.085379,0.085379
28-08-1981,0.089844,0.090402,0.089844,0.089844
31-08-1981,0.089844,0.090402,0.089844,0.089844
01-09-1981,0.095424,0.095982,0.095424,0.095424
02-09-1981,0.097098,0.097656,0.097098,0.097098
03-09-1981,0.093192,0.093192,0.092076,0.092076
04-09-1981,0.091518,0.091518,0.09096,0.09096
08-09-1981,0.088728,0.088728,0.08817,0.08817
09-09-1981,0.08817,0.088728,0.08817,0.08817
10-09-1981,0.088728,0.089286,0.088728,0.088728
11-09-1981,0.08817,0.08817,0.087612,0.087612
14-09-1981,0.085379,0.085379,0.084821,0.084821
15-09-1981,0.083147,0.083147,0.082589,0.082589
16-09-1981,0.081473,0.081473,0.080915,0.080915
17-09-1981,0.079241,0.079241,0.078683,0.078683
18-09-1981,0.079241,0.079799,0.079241,0.079241
